0.0130355	0.0130355	-0.252786	0.327913	-0.500853	0.971761	0.112636	-0.522947	-0.667562	-0.552886	1.03634	1.03634	
0.0130355	0.0130355	-0.252786	0.327913	-0.500853	0.971761	0.112636	-0.522947	-0.667562	-0.552886	1.03634	1.03634	
-0.252786	-0.252786	0.208647	0.337402	-0.806448	0.855304	-0.244499	-0.177546	-0.199301	-0.473428	0.796985	0.796985	
0.327913	0.327913	0.337402	-0.656298	0.587634	0.75249	0.331701	-0.141955	-1.02855	-0.49694	0.923543	0.923543	
-0.500853	-0.500853	-0.806448	0.587634	0.0279192	-0.22776	-0.303257	-0.674942	0.234659	0.477936	0.162092	0.162092	
0.971761	0.971761	0.855304	0.75249	-0.22776	0.378934	0.540411	0.6953	0.592856	-0.174556	-0.205325	-0.205325	
0.112636	0.112636	-0.244499	0.331701	-0.303257	0.540411	0.411743	-0.0856869	-0.048885	-0.0736702	0.501782	0.501782	
-0.522947	-0.522947	-0.177546	-0.141955	-0.674942	0.6953	-0.0856869	0.262649	0.226677	0.0218921	1.06174	1.06174	
-0.667562	-0.667562	-0.199301	-1.02855	0.234659	0.592856	-0.048885	0.226677	-0.474664	0.134358	1.48559	1.48559	
-0.552886	-0.552886	-0.473428	-0.49694	0.477936	-0.174556	-0.0736702	0.0218921	0.134358	0.66086	0.493911	0.493911	
1.03634	1.03634	0.796985	0.923543	0.162092	-0.205325	0.501782	1.06174	1.48559	0.493911	-1.11854	-1.11854	
1.03634	1.03634	0.796985	0.923543	0.162092	-0.205325	0.501782	1.06174	1.48559	0.493911	-1.11854	-1.11854	
